Jul 17, 2023  05:52:38 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


 20.20,   2.11E-012, 
 20.30,   8.46E-013, 
 20.40,   3.54E-013, 
 20.50,   1.65E-013, 
 20.60,   4.73E-014, 
 20.70,   2.23E-014, 
 20.80,  -4.52E-014, 
 20.90,  -5.29E-014, 
 21.00,  -4.73E-014, 
 21.10,  -1.04E-013, 
 21.20,  -1.15E-013, 
 21.30,  -6.75E-014, 
 21.40,  -4.87E-014, 
 21.50,   9.74E-015, 
 21.60,   6.40E-014, 
 21.70,   1.95E-013, 
 21.80,   2.98E-013, 
 21.90,   3.74E-013, 
 22.00,   3.50E-013, 
 22.10,   3.37E-013, 
 22.20,   2.25E-013, 
 22.30,   1.26E-013, 
 22.40,  -2.09E-015, 
 22.50,   1.04E-014, 
 22.60,   2.50E-014, 
 22.70,   7.30E-014, 
 22.80,   7.51E-014, 
 22.90,   8.69E-014, 
 23.00,   1.03E-013, 
 23.10,   1.27E-013, 
 23.20,   5.01E-014, 
 23.30,  -1.18E-014, 
 23.40,  -8.28E-014, 
 23.50,  -5.43E-014, 
 23.60,  -2.92E-014, 
 23.70,   2.09E-015, 
 23.80,   8.35E-015, 
 23.90,   2.09E-015, 
 24.00,  -2.71E-014, 
 24.10,  -2.23E-014, 
 24.20,   0.00E+000, 
 24.30,  -6.89E-014, 
 24.40,  -1.57E-013, 
 24.50,  -8.69E-014, 
 24.60,  -1.53E-014, 
 24.70,   6.33E-014, 
 24.80,   1.45E-013, 
 24.90,   2.33E-013, 
 25.00,   2.53E-013, 
 25.10,   3.37E-013, 
 25.20,   2.30E-013, 
 25.30,   7.93E-014, 
 25.40,   7.79E-014, 
 25.50,   1.09E-013, 
 25.60,   1.43E-013, 
 25.70,   7.02E-013, 
 25.80,   1.50E-012, 
 25.90,   2.36E-012, 
 26.00,   2.52E-012, 
 26.10,   2.35E-012, 
