Jul 11, 2023  03:04:56 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   2.29E-010, 
  1.10,   4.65E-010, 
  1.20,   1.38E-009, 
  1.30,   2.13E-009, 
  1.40,   1.04E-009, 
  1.50,   9.17E-010, 
  1.60,   1.03E-009, 
  1.70,   1.87E-009, 
  1.80,   4.71E-009, 
  1.90,   8.70E-009, 
  2.00,   1.08E-008, 
  2.10,   1.04E-008, 
  2.20,   7.34E-009, 
  2.30,   1.82E-009, 
  2.40,   9.01E-011, 
  2.50,   1.62E-011, 
  2.60,   5.71E-012, 
  2.70,   2.69E-012, 
  2.80,   1.61E-012, 
  2.90,   1.82E-012, 
  3.00,   2.00E-012, 
  3.10,   2.13E-012, 
  3.20,   1.86E-012, 
  3.30,   1.26E-012, 
  3.40,   5.73E-013, 
  3.50,   2.47E-013, 
  3.60,   2.09E-013, 
  3.70,   1.71E-013, 
  3.80,   1.35E-013, 
  3.90,   4.87E-014, 
  4.00,   5.84E-014, 
  4.10,   6.68E-014, 
  4.20,   1.11E-013, 
  4.30,   7.37E-014, 
  4.40,   1.32E-014, 
  4.50,  -2.43E-014, 
  4.60,  -6.61E-014, 
  4.70,  -6.40E-014, 
  4.80,  -1.59E-013, 
  4.90,  -9.67E-014, 
  5.00,  -8.21E-014, 
  5.10,  -8.90E-014, 
  5.20,  -1.34E-013, 
  5.30,  -1.39E-013, 
  5.40,  -7.65E-014, 
  5.50,  -5.84E-014, 
  5.60,  -1.12E-013, 
  5.70,  -1.70E-013, 
  5.80,  -1.47E-013, 
  5.90,  -2.17E-013, 
  6.00,  -1.72E-013, 
  6.10,  -1.38E-013, 
  6.20,  -9.67E-014, 
  6.30,  -1.08E-013, 
  6.40,  -1.30E-013, 
  6.50,  -1.58E-013, 
  6.60,  -1.26E-013, 
  6.70,  -1.83E-013, 
