Jul 12, 2023  04:16:32 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


 20.20,   3.05E-012, 
 20.30,   1.05E-012, 
 20.40,   5.05E-013, 
 20.50,   3.40E-013, 
 20.60,   1.40E-013, 
 20.70,   2.16E-014, 
 20.80,   4.87E-015, 
 20.90,  -3.90E-014, 
 21.00,   2.78E-015, 
 21.10,   5.29E-014, 
 21.20,   5.29E-014, 
 21.30,  -5.29E-014, 
 21.40,  -5.63E-014, 
 21.50,  -3.83E-014, 
 21.60,   3.74E-013, 
 21.70,   1.60E-012, 
 21.80,   3.18E-012, 
 21.90,   4.26E-012, 
 22.00,   4.61E-012, 
 22.10,   3.37E-012, 
 22.20,   1.89E-012, 
 22.30,   7.29E-013, 
 22.40,   3.11E-013, 
 22.50,   2.21E-013, 
 22.60,   1.64E-013, 
 22.70,   7.09E-014, 
 22.80,   9.67E-014, 
 22.90,   2.57E-013, 
 23.00,   1.66E-013, 
 23.10,   9.81E-014, 
 23.20,   2.71E-014, 
 23.30,   3.83E-014, 
 23.40,  -1.25E-014, 
 23.50,  -1.88E-014, 
 23.60,   2.71E-014, 
 23.70,   1.75E-013, 
 23.80,   3.84E-013, 
 23.90,   6.69E-013, 
 24.00,   8.40E-013, 
 24.10,   7.98E-013, 
 24.20,   5.04E-013, 
 24.30,   2.47E-013, 
 24.40,   1.53E-013, 
 24.50,   2.12E-013, 
 24.60,   5.27E-013, 
 24.70,   1.22E-012, 
 24.80,   2.28E-012, 
 24.90,   3.43E-012, 
 25.00,   3.53E-012, 
 25.10,   3.45E-012, 
 25.20,   2.61E-012, 
 25.30,   1.87E-012, 
 25.40,   1.88E-012, 
 25.50,   2.78E-012, 
 25.60,   5.42E-012, 
 25.70,   1.45E-011, 
 25.80,   2.26E-011, 
 25.90,   2.66E-011, 
 26.00,   2.61E-011, 
 26.10,   1.99E-011, 
 26.20,   9.42E-012, 
 26.30,   2.96E-012, 
 26.40,   2.61E-012, 
 26.50,   3.99E-012, 
 26.60,   9.86E-012, 
 26.70,   2.76E-011, 
 26.80,   4.63E-011, 
 26.90,   5.22E-011, 
 27.00,   5.41E-011, 
 27.10,   4.97E-011, 
 27.20,   3.31E-011, 
 27.30,   4.21E-011, 
 27.40,   7.95E-011, 
 27.50,   1.66E-010, 
 27.60,   4.71E-010, 
 27.70,   9.73E-010, 
 27.80,   1.31E-009, 
 27.90,   1.35E-009, 
 28.00,   1.24E-009, 
 28.10,   8.76E-010, 
 28.20,   1.51E-010, 
 28.30,   1.09E-011, 
 28.40,   4.38E-012, 
 28.50,   3.81E-012, 
 28.60,   6.91E-012, 
 28.70,   2.12E-011, 
 28.80,   3.64E-011, 
 28.90,   4.18E-011, 
 29.00,   4.06E-011, 
 29.10,   3.24E-011, 
 29.20,   1.58E-011, 
 29.30,   4.34E-012, 
 29.40,   2.79E-012, 
 29.50,   4.31E-012, 
 29.60,   1.25E-011, 
 29.70,   3.20E-011, 
 29.80,   4.63E-011, 
 29.90,   5.04E-011, 
 30.00,   4.75E-011, 
 30.10,   3.44E-011, 
 30.20,   1.11E-011, 
 30.30,   2.53E-012, 
 30.40,   1.04E-012, 
 30.50,   6.21E-013, 
 30.60,   4.86E-013, 
 30.70,   5.94E-013, 
 30.80,   9.61E-013, 
 30.90,   1.87E-012, 
 31.00,   3.31E-012, 
 31.10,   5.92E-012, 
 31.20,   1.03E-011, 
 31.30,   1.97E-011, 
 31.40,   3.69E-011, 
 31.50,   7.08E-011, 
 31.60,   2.02E-010, 
 31.70,   4.21E-010, 
 31.80,   5.61E-010, 
 31.90,   5.85E-010, 
 32.00,   5.37E-010, 
 32.10,   3.48E-010, 
 32.20,   4.73E-011, 
 32.30,   5.16E-012, 
 32.40,   1.99E-012, 
 32.50,   9.17E-013, 
 32.60,   4.38E-013, 
 32.70,   3.17E-013, 
 32.80,   2.84E-013, 
 32.90,   3.19E-013, 
 33.00,   3.14E-013, 
 33.10,   2.71E-013, 
 33.20,   8.07E-014, 
 33.30,   2.57E-014, 
 33.40,  -1.74E-014, 
 33.50,   4.94E-014, 
 33.60,   2.50E-013, 
 33.70,   7.39E-013, 
 33.80,   1.57E-012, 
 33.90,   2.29E-012, 
 34.00,   2.22E-012, 
 34.10,   2.05E-012, 
 34.20,   1.16E-012, 
 34.30,   5.15E-013, 
 34.40,   3.33E-013, 
 34.50,   4.41E-013, 
 34.60,   7.08E-013, 
 34.70,   1.44E-012, 
 34.80,   2.61E-012, 
 34.90,   3.46E-012, 
 35.00,   3.66E-012, 
 35.10,   2.92E-012, 
 35.20,   1.24E-012, 
 35.30,   5.64E-013, 
 35.40,   3.94E-013, 
 35.50,   3.02E-013, 
 35.60,   4.27E-013, 
 35.70,   4.70E-013, 
 35.80,   8.60E-013, 
 35.90,   8.43E-013, 
 36.00,   9.61E-013, 
 36.10,   9.16E-013, 
 36.20,   5.93E-013, 
 36.30,   3.05E-013, 
 36.40,   3.27E-013, 
 36.50,   4.58E-013, 
 36.60,   1.08E-012, 
 36.70,   2.82E-012, 
 36.80,   5.66E-012, 
 36.90,   7.46E-012, 
 37.00,   7.49E-012, 
 37.10,   6.41E-012, 
 37.20,   3.23E-012, 
 37.30,   1.17E-012, 
 37.40,   8.38E-013, 
 37.50,   8.61E-013, 
 37.60,   2.21E-012, 
 37.70,   5.98E-012, 
 37.80,   9.89E-012, 
 37.90,   1.22E-011, 
 38.00,   1.33E-011, 
 38.10,   1.21E-011, 
 38.20,   6.30E-012, 
 38.30,   3.21E-012, 
 38.40,   4.37E-012, 
 38.50,   7.46E-012, 
 38.60,   2.00E-011, 
 38.70,   4.59E-011, 
 38.80,   6.84E-011, 
 38.90,   7.78E-011, 
 39.00,   7.85E-011, 
 39.10,   6.22E-011, 
 39.20,   2.24E-011, 
 39.30,   6.33E-012, 
 39.40,   6.30E-012, 
 39.50,   1.16E-011, 
 39.60,   3.11E-011, 
 39.70,   6.21E-011, 
 39.80,   8.43E-011, 
 39.90,   8.92E-011, 
 40.00,   8.33E-011, 
 40.10,   5.22E-011, 
 40.20,   1.54E-011, 
 40.30,   6.77E-012, 
 40.40,   8.90E-012, 
 40.50,   1.43E-011, 
 40.60,   3.51E-011, 
 40.70,   9.10E-011, 
 40.80,   1.40E-010, 
 40.90,   1.60E-010, 
 41.00,   1.62E-010, 
 41.10,   1.38E-010, 
 41.20,   4.80E-011, 
 41.30,   6.19E-012, 
 41.40,   2.25E-012, 
 41.50,   1.78E-012, 
 41.60,   2.41E-012, 
 41.70,   5.69E-012, 
 41.80,   1.12E-011, 
 41.90,   1.50E-011, 
 42.00,   1.53E-011, 
 42.10,   1.45E-011, 
 42.20,   8.31E-012, 
 42.30,   2.41E-012, 
 42.40,   1.23E-012, 
 42.50,   1.11E-012, 
 42.60,   1.72E-012, 
 42.70,   3.63E-012, 
 42.80,   6.59E-012, 
 42.90,   9.53E-012, 
 43.00,   1.24E-011, 
 43.10,   1.53E-011, 
 43.20,   1.62E-011, 
 43.30,   2.18E-011, 
 43.40,   3.40E-011, 
 43.50,   5.96E-011, 
 43.60,   1.77E-010, 
 43.70,   3.41E-010, 
 43.80,   4.48E-010, 
 43.90,   4.66E-010, 
 44.00,   4.37E-010, 
 44.10,   2.66E-010, 
 44.20,   4.06E-011, 
 44.30,   4.20E-012, 
 44.40,   1.74E-012, 
 44.50,   8.86E-013, 
 44.60,   1.36E-012, 
 44.70,   2.70E-012, 
 44.80,   4.92E-012, 
 44.90,   5.55E-012, 
 45.00,   5.38E-012, 
 45.10,   4.52E-012, 
 45.20,   2.23E-012, 
 45.30,   9.13E-013, 
 45.40,   3.48E-013, 
 45.50,   2.66E-013, 
 45.60,   2.29E-013, 
 45.70,   7.08E-013, 
 45.80,   1.29E-012, 
 45.90,   1.76E-012, 
 46.00,   1.66E-012, 
 46.10,   1.56E-012, 
 46.20,   8.20E-013, 
 46.30,   2.87E-013, 
 46.40,   9.60E-014, 
 46.50,  -5.15E-014, 
 46.60,  -2.09E-014, 
 46.70,  -2.99E-014, 
 46.80,  -1.81E-014, 
 46.90,   1.39E-014, 
 47.00,   1.74E-014, 
 47.10,  -3.76E-014, 
 47.20,  -1.67E-014, 
 47.30,  -3.90E-014, 
 47.40,  -8.21E-014, 
 47.50,  -9.46E-014, 
 47.60,  -4.45E-014, 
 47.70,   3.27E-014, 
 47.80,   8.90E-014, 
 47.90,   1.56E-013, 
 48.00,   1.71E-013, 
 48.10,   1.88E-013, 
 48.20,   1.06E-013, 
 48.30,   6.61E-014, 
 48.40,   2.23E-014, 
 48.50,   1.04E-013, 
 48.60,   2.45E-013, 
 48.70,   5.96E-013, 
 48.80,   9.38E-013, 
 48.90,   1.46E-012, 
 49.00,   1.67E-012, 
 49.10,   1.46E-012, 
 49.20,   1.11E-012, 
 49.30,   6.53E-013, 
 49.40,   4.53E-013, 
 49.50,   5.36E-013, 
 49.60,   8.57E-013, 
 49.70,   2.08E-012, 
 49.80,   4.15E-012, 
 49.90,   5.96E-012, 
 50.00,   6.23E-012, 
 50.10,   6.05E-012, 
 50.20,   3.04E-012, 
 50.30,   1.16E-012, 
 50.40,   7.07E-013, 
 50.50,   6.73E-013, 
 50.60,   8.50E-013, 
 50.70,   1.80E-012, 
 50.80,   3.94E-012, 
 50.90,   5.02E-012, 
 51.00,   5.70E-012, 
 51.10,   5.42E-012, 
 51.20,   3.10E-012, 
 51.30,   1.26E-012, 
 51.40,   5.38E-013, 
 51.50,   2.87E-013, 
 51.60,   2.52E-013, 
 51.70,   6.85E-013, 
 51.80,   1.19E-012, 
 51.90,   1.62E-012, 
 52.00,   1.64E-012, 
 52.10,   1.78E-012, 
 52.20,   1.41E-012, 
 52.30,   7.64E-013, 
 52.40,   5.15E-013, 
 52.50,   5.72E-013, 
 52.60,   9.76E-013, 
 52.70,   2.41E-012, 
 52.80,   4.45E-012, 
 52.90,   6.65E-012, 
 53.00,   6.99E-012, 
 53.10,   5.99E-012, 
 53.20,   3.75E-012, 
 53.30,   1.55E-012, 
 53.40,   7.26E-013, 
 53.50,   4.22E-013, 
 53.60,   4.74E-013, 
 53.70,   9.99E-013, 
 53.80,   1.81E-012, 
 53.90,   2.75E-012, 
 54.00,   3.09E-012, 
 54.10,   3.27E-012, 
 54.20,   2.74E-012, 
 54.30,   1.89E-012, 
 54.40,   1.63E-012, 
 54.50,   1.77E-012, 
 54.60,   3.26E-012, 
 54.70,   9.48E-012, 
 54.80,   1.90E-011, 
 54.90,   2.66E-011, 
 55.00,   2.75E-011, 
 55.10,   2.55E-011, 
 55.20,   1.51E-011, 
 55.30,   5.48E-012, 
 55.40,   3.77E-012, 
 55.50,   4.32E-012, 
 55.60,   8.52E-012, 
 55.70,   2.69E-011, 
 55.80,   5.01E-011, 
 55.90,   5.91E-011, 
 56.00,   6.38E-011, 
 56.10,   5.95E-011, 
 56.20,   3.16E-011, 
 56.30,   7.21E-012, 
 56.40,   1.72E-012, 
 56.50,   8.17E-013, 
 56.60,   5.62E-013, 
 56.70,   8.51E-013, 
 56.80,   1.62E-012, 
 56.90,   2.47E-012, 
 57.00,   2.88E-012, 
 57.10,   2.98E-012, 
 57.20,   2.52E-012, 
 57.30,   1.11E-012, 
 57.40,   4.95E-013, 
 57.50,   2.18E-013, 
 57.60,   9.25E-014, 
 57.70,   2.64E-013, 
 57.80,   3.41E-013, 
 57.90,   4.11E-013, 
 58.00,   4.80E-013, 
 58.10,   4.73E-013, 
 58.20,   4.01E-013, 
 58.30,   1.61E-013, 
 58.40,  -1.81E-014, 
 58.50,  -2.71E-014, 
 58.60,  -3.06E-014, 
 58.70,  -8.90E-014, 
 58.80,  -7.37E-014, 
 58.90,   1.04E-014, 
 59.00,   2.16E-014, 
 59.10,  -4.45E-014, 
 59.20,  -4.87E-014, 
 59.30,  -3.34E-014, 
 59.40,  -5.15E-014, 
 59.50,  -9.25E-014, 
 59.60,  -8.97E-014, 
 59.70,  -1.46E-014, 
 59.80,   3.34E-014, 
 59.90,   7.65E-014, 
 60.00,   7.23E-014, 
 60.10,   2.09E-015, 
 60.20,  -5.49E-014, 
 60.30,  -6.19E-014, 
 60.40,  -4.66E-014, 
 60.50,   1.67E-014, 
 60.60,  -3.96E-014, 
 60.70,  -3.83E-014, 
 60.80,  -1.32E-014, 
 60.90,  -6.61E-014, 
 61.00,  -8.90E-014, 
 61.10,  -8.14E-014, 
 61.20,  -9.39E-014, 
 61.30,  -6.33E-014, 
 61.40,  -4.45E-014, 
 61.50,  -7.86E-014, 
 61.60,  -1.06E-013, 
 61.70,  -8.42E-014, 
 61.80,  -6.61E-014, 
 61.90,  -6.68E-014, 
 62.00,  -9.53E-014, 
 62.10,  -3.13E-014, 
 62.20,  -3.55E-014, 
 62.30,  -8.21E-014, 
 62.40,  -7.44E-014, 
 62.50,  -5.29E-014, 
 62.60,   4.24E-014, 
 62.70,  -1.67E-014, 
 62.80,  -8.35E-015, 
 62.90,   2.09E-014, 
 63.00,   7.09E-014, 
 63.10,   1.28E-013, 
 63.20,   3.83E-014, 
 63.30,  -4.73E-014, 
 63.40,  -3.83E-014, 
 63.50,  -7.37E-014, 
 63.60,  -2.64E-014, 
 63.70,   1.25E-014, 
 63.80,   2.57E-014, 
 63.90,   5.63E-014, 
 64.00,   4.59E-014, 
 64.10,   5.29E-014, 
 64.20,   5.08E-014, 
 64.30,   6.96E-016, 
 64.40,   3.48E-015, 
 64.50,  -4.94E-014, 
 64.60,  -1.32E-014, 
 64.70,  -1.41E-013, 
 64.80,  -4.59E-014, 
 64.90,   5.29E-014, 
 65.00,   2.71E-014, 
 65.10,  -7.65E-015, 
 65.20,  -6.12E-014, 
 65.30,  -1.81E-014, 
 65.40,   1.46E-014, 
 65.50,   4.73E-014, 
 65.60,  -2.16E-014, 
 65.70,  -4.59E-014, 
 65.80,  -2.09E-015, 
 65.90,   2.43E-014, 
 66.00,   5.43E-014, 
 66.10,   1.27E-013, 
 66.20,   2.23E-014, 
 66.30,  -3.27E-014, 
 66.40,  -1.03E-013, 
 66.50,  -1.20E-013, 
 66.60,  -9.88E-014, 
 66.70,  -4.80E-014, 
 66.80,   5.36E-014, 
 66.90,   2.43E-013, 
 67.00,   2.45E-013, 
 67.10,   2.93E-013, 
 67.20,   1.79E-013, 
 67.30,   9.18E-014, 
 67.40,   4.59E-014, 
 67.50,   3.90E-014, 
 67.60,  -6.26E-015, 
 67.70,   4.17E-015, 
 67.80,  -9.74E-015, 
 67.90,  -3.34E-014, 
 68.00,   9.39E-014, 
 68.10,   1.04E-013, 
 68.20,  -1.11E-014, 
 68.30,  -3.55E-014, 
 68.40,  -3.27E-014, 
 68.50,  -5.43E-014, 
 68.60,  -9.74E-015, 
 68.70,  -2.09E-014, 
 68.80,  -4.66E-014, 
 68.90,   3.48E-014, 
 69.00,   8.97E-014, 
 69.10,   3.76E-014, 
 69.20,   5.43E-014, 
 69.30,  -6.96E-015, 
 69.40,   2.50E-014, 
 69.50,  -7.72E-014, 
 69.60,  -6.40E-014, 
 69.70,  -2.50E-014, 
 69.80,  -9.04E-015, 
 69.90,   4.80E-014, 
 70.00,   1.30E-013, 
 70.10,   2.84E-013, 
 70.20,   2.60E-013, 
 70.30,   4.31E-014, 
 70.40,  -5.56E-014, 
 70.50,  -4.24E-014, 
 70.60,  -7.03E-014, 
 70.70,  -7.03E-014, 
 70.80,  -8.56E-014, 
 70.90,  -2.71E-014, 
 71.00,   2.30E-014, 
 71.10,   3.41E-014, 
 71.20,  -1.95E-014, 
 71.30,  -9.04E-015, 
 71.40,   1.53E-014, 
 71.50,  -7.16E-014, 
 71.60,  -7.86E-014, 
 71.70,  -3.55E-014, 
 71.80,  -1.60E-014, 
 71.90,  -4.31E-014, 
 72.00,   4.38E-014, 
 72.10,   2.09E-014, 
 72.20,  -2.09E-014, 
 72.30,  -3.83E-014, 
 72.40,  -7.03E-014, 
 72.50,  -2.50E-014, 
 72.60,  -5.77E-014, 
 72.70,  -9.81E-014, 
 72.80,  -9.81E-014, 
 72.90,  -3.62E-014, 
 73.00,  -7.79E-014, 
 73.10,  -2.36E-014, 
 73.20,  -5.56E-014, 
 73.30,  -8.83E-014, 
 73.40,  -1.15E-013, 
 73.50,  -1.47E-013, 
 73.60,  -1.20E-013, 
 73.70,  -1.00E-013, 
 73.80,  -4.45E-014, 
 73.90,  -2.43E-014, 
 74.00,   2.78E-015, 
 74.10,   0.00E+000, 
 74.20,  -5.49E-014, 
 74.30,  -1.20E-013, 
 74.40,  -8.28E-014, 
 74.50,  -1.04E-013, 
 74.60,  -1.33E-013, 
 74.70,  -9.60E-014, 
 74.80,  -1.95E-014, 
 74.90,  -5.15E-014, 
 75.00,  -5.98E-014, 
 75.10,  -4.10E-014, 
 75.20,  -4.17E-015, 
 75.30,  -2.36E-014, 
 75.40,  -1.25E-013, 
 75.50,  -1.57E-013, 
 75.60,  -7.93E-014, 
 75.70,  -2.92E-014, 
 75.80,   3.90E-014, 
 75.90,   7.86E-014, 
 76.00,   2.85E-014, 
 76.10,  -4.87E-015, 
 76.20,  -1.46E-014, 
 76.30,  -8.00E-014, 
 76.40,   4.87E-014, 
 76.50,   5.36E-014, 
 76.60,  -2.43E-014, 
 76.70,   3.06E-014, 
 76.80,   8.62E-014, 
 76.90,   1.51E-013, 
 77.00,   1.50E-013, 
 77.10,   8.56E-014, 
 77.20,   8.90E-014, 
 77.30,  -4.38E-014, 
 77.40,  -4.38E-014, 
 77.50,  -5.91E-014, 
 77.60,  -2.64E-014, 
 77.70,   7.65E-014, 
 77.80,   2.24E-013, 
 77.90,   3.75E-013, 
 78.00,   4.58E-013, 
 78.10,   5.36E-013, 
 78.20,   4.12E-013, 
 78.30,   2.87E-013, 
 78.40,   1.72E-013, 
 78.50,   7.37E-014, 
 78.60,   2.50E-014, 
 78.70,   7.23E-014, 
 78.80,   1.22E-013, 
 78.90,   1.93E-013, 
 79.00,   1.80E-013, 
 79.10,   1.42E-013, 
 79.20,   1.95E-014, 
 79.30,  -3.69E-014, 
 79.40,  -6.33E-014, 
 79.50,  -2.30E-014, 
 79.60,  -2.78E-015, 
 79.70,  -7.23E-014, 
 79.80,  -3.13E-014, 
 79.90,   2.16E-014, 
 80.00,   0.00E+000, 
 80.10,   8.42E-014, 
 80.20,   3.62E-014, 
 80.30,  -3.48E-015, 
 80.40,   4.52E-014, 
 80.50,   1.74E-014, 
 80.60,   2.71E-014, 
 80.70,   3.90E-014, 
 80.80,   4.66E-014, 
 80.90,   3.90E-014, 
 81.00,   4.38E-014, 
 81.10,   3.34E-014, 
 81.20,   1.32E-014, 
 81.30,   2.78E-014, 
 81.40,   5.84E-014, 
 81.50,   3.27E-014, 
 81.60,   8.35E-014, 
 81.70,   3.83E-014, 
 81.80,   2.23E-014, 
 81.90,   2.43E-014, 
 82.00,   2.64E-014, 
 82.10,   3.48E-015, 
 82.20,  -4.24E-014, 
 82.30,   3.48E-015, 
 82.40,  -4.52E-014, 
 82.50,  -1.22E-013, 
 82.60,  -9.04E-014, 
 82.70,  -4.52E-014, 
 82.80,  -5.56E-014, 
 82.90,  -1.39E-014, 
 83.00,   1.04E-014, 
 83.10,  -2.09E-014, 
 83.20,  -4.87E-015, 
 83.30,  -6.40E-014, 
 83.40,  -7.30E-014, 
 83.50,  -1.53E-014, 
 83.60,   7.23E-014, 
 83.70,   3.48E-014, 
 83.80,   3.34E-014, 
 83.90,   1.28E-013, 
 84.00,   4.59E-014, 
 84.10,   0.00E+000, 
 84.20,   8.35E-015, 
 84.30,   2.30E-014, 
 84.40,   2.43E-014, 
 84.50,   3.48E-015, 
 84.60,  -3.41E-014, 
 84.70,  -5.43E-014, 
 84.80,  -5.43E-014, 
 84.90,  -1.04E-014, 
 85.00,   0.00E+000, 
 85.10,   2.23E-014, 
 85.20,  -2.57E-014, 
 85.30,  -5.84E-014, 
 85.40,  -2.02E-014, 
 85.50,  -2.02E-014, 
 85.60,   9.74E-015, 
 85.70,   5.08E-014, 
 85.80,  -6.61E-014, 
 85.90,  -1.20E-013, 
 86.00,  -1.27E-013, 
 86.10,  -5.15E-014, 
 86.20,  -1.46E-014, 
 86.30,   1.39E-015, 
 86.40,   2.09E-015, 
 86.50,  -4.94E-014, 
 86.60,  -3.76E-014, 
 86.70,  -6.19E-014, 
 86.80,  -4.87E-014, 
 86.90,  -8.00E-014, 
 87.00,  -6.82E-014, 
 87.10,  -4.24E-014, 
 87.20,   1.25E-014, 
 87.30,   4.80E-014, 
 87.40,   5.77E-014, 
 87.50,   3.13E-014, 
 87.60,   5.56E-014, 
 87.70,   3.34E-014, 
 87.80,  -1.04E-014, 
 87.90,   1.81E-014, 
 88.00,   8.83E-014, 
 88.10,   7.79E-014, 
 88.20,   1.32E-014, 
 88.30,  -8.35E-015, 
 88.40,  -3.48E-014, 
 88.50,  -4.03E-014, 
 88.60,  -7.93E-014, 
 88.70,  -1.02E-013, 
 88.80,  -9.46E-014, 
 88.90,  -3.27E-014, 
 89.00,  -2.78E-015, 
 89.10,  -3.48E-015, 
 89.20,   1.67E-014, 
