Jul 12, 2023  11:32:36 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   3.08E-010, 
  1.10,   4.39E-010, 
  1.20,   1.54E-009, 
  1.30,   3.63E-009, 
  1.40,   1.76E-009, 
  1.50,   1.52E-009, 
  1.60,   1.71E-009, 
  1.70,   2.82E-009, 
  1.80,   6.67E-009, 
  1.90,   1.49E-008, 
  2.00,   2.11E-008, 
  2.10,   2.22E-008, 
  2.20,   1.75E-008, 
  2.30,   6.95E-009, 
  2.40,   3.84E-010, 
  2.50,   4.66E-011, 
  2.60,   1.27E-011, 
  2.70,   5.53E-012, 
  2.80,   3.25E-012, 
  2.90,   3.10E-012, 
  3.00,   3.45E-012, 
  3.10,   4.30E-012, 
  3.20,   3.97E-012, 
  3.30,   2.57E-012, 
  3.40,   1.18E-012, 
  3.50,   5.68E-013, 
  3.60,   2.03E-013, 
  3.70,   2.15E-013, 
  3.80,   1.48E-013, 
  3.90,   2.85E-014, 
  4.00,   6.96E-014, 
  4.10,   2.62E-013, 
  4.20,   1.11E-013, 
  4.30,   5.91E-014, 
  4.40,  -6.96E-016, 
  4.50,  -1.08E-013, 
  4.60,  -1.98E-013, 
  4.70,  -2.34E-013, 
  4.80,  -1.23E-013, 
  4.90,  -4.87E-014, 
  5.00,  -8.62E-014, 
  5.10,  -1.50E-013, 
  5.20,  -1.54E-013, 
  5.30,  -8.62E-014, 
  5.40,  -9.39E-014, 
  5.50,  -1.59E-013, 
  5.60,  -1.36E-013, 
  5.70,  -1.47E-013, 
  5.80,  -1.57E-013, 
  5.90,  -1.20E-013, 
  6.00,  -2.71E-014, 
  6.10,  -7.09E-014, 
  6.20,  -7.93E-014, 
  6.30,  -9.11E-014, 
  6.40,  -1.00E-013, 
  6.50,  -1.13E-013, 
  6.60,  -1.22E-013, 
  6.70,  -1.72E-013, 
