Jul 17, 2023  11:25:16 AM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


 20.50,   2.44E-013, 
 20.60,   1.15E-013, 
 20.70,   7.44E-014, 
 20.80,   2.02E-014, 
 20.90,  -2.09E-015, 
 21.00,   5.56E-015, 
 21.10,   1.67E-014, 
 21.20,   1.60E-014, 
 21.30,   6.26E-015, 
 21.40,   2.57E-014, 
 21.50,   4.80E-014, 
 21.60,   9.88E-014, 
 21.70,   1.66E-013, 
 21.80,   3.22E-013, 
 21.90,   5.16E-013, 
 22.00,   5.49E-013, 
 22.10,   4.45E-013, 
 22.20,   3.00E-013, 
 22.30,   1.96E-013, 
 22.40,   1.13E-013, 
 22.50,   1.81E-014, 
 22.60,   3.69E-014, 
 22.70,   9.04E-014, 
 22.80,   1.27E-013, 
 22.90,   1.09E-013, 
 23.00,   9.67E-014, 
 23.10,   1.75E-013, 
 23.20,   1.35E-013, 
 23.30,   8.97E-014, 
 23.40,   6.26E-014, 
 23.50,   6.82E-014, 
 23.60,   7.51E-014, 
 23.70,   1.34E-013, 
 23.80,   1.35E-013, 
 23.90,   1.51E-013, 
 24.00,   2.02E-013, 
 24.10,   2.66E-013, 
 24.20,   1.82E-013, 
 24.30,   4.73E-014, 
 24.40,   5.36E-014, 
 24.50,  -8.35E-015, 
 24.60,   2.23E-014, 
 24.70,   2.48E-013, 
 24.80,   4.83E-013, 
 24.90,   5.41E-013, 
 25.00,   5.40E-013, 
 25.10,   6.33E-013, 
 25.20,   5.66E-013, 
 25.30,   3.87E-013, 
 25.40,   3.00E-013, 
 25.50,   3.12E-013, 
 25.60,   5.76E-013, 
 25.70,   1.76E-012, 
 25.80,   3.22E-012, 
 25.90,   4.45E-012, 
 26.00,   4.45E-012, 
 26.10,   3.98E-012, 
 26.20,   2.77E-012, 
 26.30,   1.16E-012, 
 26.40,   6.60E-013, 
 26.50,   5.77E-013, 
 26.60,   7.92E-013, 
 26.70,   1.61E-012, 
 26.80,   3.18E-012, 
 26.90,   4.68E-012, 
 27.00,   6.30E-012, 
 27.10,   7.78E-012, 
 27.20,   8.88E-012, 
 27.30,   1.53E-011, 
 27.40,   3.17E-011, 
 27.50,   6.47E-011, 
 27.60,   2.00E-010, 
 27.70,   4.32E-010, 
 27.80,   5.81E-010, 
 27.90,   6.13E-010, 
 28.00,   5.66E-010, 
 28.10,   4.28E-010, 
 28.20,   9.96E-011, 
 28.30,   7.58E-012, 
 28.40,   2.79E-012, 
 28.50,   1.57E-012, 
 28.60,   1.65E-012, 
 28.70,   3.01E-012, 
 28.80,   5.88E-012, 
 28.90,   7.42E-012, 
 29.00,   7.38E-012, 
 29.10,   6.22E-012, 
 29.20,   3.54E-012, 
 29.30,   1.40E-012, 
 29.40,   8.60E-013, 
 29.50,   8.87E-013, 
 29.60,   1.50E-012, 
 29.70,   3.52E-012, 
 29.80,   7.01E-012, 
 29.90,   8.36E-012, 
 30.00,   7.91E-012, 
 30.10,   7.01E-012, 
 30.20,   3.44E-012, 
 30.30,   1.19E-012, 
 30.40,   5.27E-013, 
 30.50,   2.81E-013, 
 30.60,   1.72E-013, 
 30.70,   1.44E-013, 
 30.80,   1.72E-013, 
 30.90,   1.41E-013, 
 31.00,   1.86E-013, 
 31.10,   2.32E-013, 
 31.20,   2.78E-013, 
 31.30,   4.61E-013, 
 31.40,   7.84E-013, 
 31.50,   1.45E-012, 
 31.60,   3.66E-012, 
 31.70,   1.18E-011, 
 31.80,   2.03E-011, 
 31.90,   2.13E-011, 
 32.00,   2.04E-011, 
 32.10,   1.75E-011, 
 32.20,   6.70E-012, 
 32.30,   1.91E-012, 
 32.40,   6.94E-013, 
 32.50,   3.28E-013, 
 32.60,   2.25E-013, 
 32.70,   7.30E-014, 
 32.80,   9.11E-014, 
 32.90,   7.51E-014, 
 33.00,   5.22E-014, 
 33.10,   3.55E-014, 
 33.20,  -1.32E-014, 
 33.30,  -6.96E-016, 
 33.40,   5.77E-014, 
 33.50,   1.67E-014, 
 33.60,  -2.09E-015, 
 33.70,  -2.50E-014, 
 33.80,  -2.23E-014, 
 33.90,   3.69E-014, 
 34.00,   6.05E-014, 
 34.10,   8.62E-014, 
 34.20,   8.76E-014, 
 34.30,   1.36E-013, 
 34.40,   1.36E-013, 
 34.50,   2.19E-013, 
 34.60,   4.13E-013, 
 34.70,   7.87E-013, 
 34.80,   1.15E-012, 
 34.90,   1.54E-012, 
 35.00,   2.03E-012, 
 35.10,   1.78E-012, 
 35.20,   9.24E-013, 
 35.30,   3.89E-013, 
 35.40,   1.55E-013, 
 35.50,   6.68E-014, 
 35.60,   8.90E-014, 
 35.70,   1.43E-013, 
 35.80,   2.47E-013, 
 35.90,   1.97E-013, 
 36.00,   2.19E-013, 
 36.10,   2.74E-013, 
 36.20,   1.84E-013, 
 36.30,   5.43E-014, 
 36.40,   4.87E-015, 
 36.50,   5.43E-014, 
 36.60,   1.33E-013, 
 36.70,   2.96E-013, 
 36.80,   3.96E-013, 
 36.90,   5.57E-013, 
 37.00,   6.12E-013, 
 37.10,   5.63E-013, 
 37.20,   2.99E-013, 
 37.30,   1.99E-013, 
 37.40,   1.40E-013, 
 37.50,   1.20E-013, 
 37.60,   1.20E-013, 
 37.70,   7.72E-014, 
 37.80,   1.52E-013, 
 37.90,   2.53E-013, 
 38.00,   2.50E-013, 
 38.10,   2.87E-013, 
 38.20,   2.14E-013, 
 38.30,   1.17E-013, 
 38.40,   2.71E-014, 
 38.50,   6.12E-014, 
 38.60,   1.58E-013, 
 38.70,   3.63E-013, 
 38.80,   7.60E-013, 
 38.90,   1.12E-012, 
 39.00,   1.47E-012, 
 39.10,   2.07E-012, 
 39.20,   1.91E-012, 
 39.30,   2.48E-012, 
 39.40,   4.19E-012, 
 39.50,   7.68E-012, 
 39.60,   2.44E-011, 
 39.70,   4.93E-011, 
 39.80,   6.32E-011, 
 39.90,   6.31E-011, 
 40.00,   5.88E-011, 
 40.10,   3.64E-011, 
 40.20,   7.94E-012, 
 40.30,   2.16E-012, 
 40.40,   9.26E-013, 
 40.50,   4.60E-013, 
 40.60,   3.38E-013, 
 40.70,   5.35E-013, 
 40.80,   1.13E-012, 
 40.90,   1.45E-012, 
 41.00,   1.61E-012, 
 41.10,   1.68E-012, 
 41.20,   1.27E-012, 
 41.30,   5.54E-013, 
 41.40,   2.42E-013, 
 41.50,   1.18E-013, 
 41.60,   5.70E-014, 
 41.70,   9.18E-014, 
 41.80,   1.94E-013, 
 41.90,   3.60E-013, 
 42.00,   3.03E-013, 
 42.10,   3.30E-013, 
 42.20,   3.30E-013, 
 42.30,   1.49E-013, 
 42.40,  -4.87E-015, 
 42.50,  -1.53E-014, 
 42.60,  -1.11E-014, 
 42.70,   6.47E-014, 
 42.80,   2.42E-013, 
 42.90,   4.22E-013, 
 43.00,   5.62E-013, 
 43.10,   9.71E-013, 
 43.20,   1.51E-012, 
 43.30,   2.32E-012, 
 43.40,   3.43E-012, 
 43.50,   5.12E-012, 
 43.60,   1.31E-011, 
 43.70,   3.24E-011, 
 43.80,   4.57E-011, 
 43.90,   5.06E-011, 
 44.00,   4.75E-011, 
 44.10,   3.55E-011, 
 44.20,   1.13E-011, 
 44.30,   2.42E-012, 
 44.40,   9.63E-013, 
 44.50,   4.54E-013, 
 44.60,   1.95E-013, 
 44.70,   2.19E-013, 
 44.80,   3.53E-013, 
 44.90,   4.22E-013, 
 45.00,   3.60E-013, 
 45.10,   3.61E-013, 
 45.20,   2.91E-013, 
 45.30,   1.34E-013, 
 45.40,   4.38E-014, 
 45.50,   9.74E-015, 
 45.60,  -6.26E-015, 
 45.70,   6.96E-015, 
 45.80,   1.16E-013, 
 45.90,   1.38E-013, 
 46.00,   1.52E-013, 
 46.10,   1.47E-013, 
 46.20,   8.69E-014, 
 46.30,  -1.11E-014, 
 46.40,  -1.81E-014, 
 46.50,  -5.56E-014, 
 46.60,  -6.26E-014, 
 46.70,  -3.76E-014, 
 46.80,  -8.42E-014, 
 46.90,  -7.93E-014, 
 47.00,  -8.21E-014, 
 47.10,  -5.98E-014, 
 47.20,  -3.69E-014, 
 47.30,  -3.69E-014, 
 47.40,  -3.13E-014, 
 47.50,  -8.49E-014, 
 47.60,  -1.02E-013, 
 47.70,  -7.65E-014, 
 47.80,  -6.89E-014, 
 47.90,  -4.45E-014, 
 48.00,  -7.65E-014, 
 48.10,  -7.51E-014, 
 48.20,  -3.48E-014, 
 48.30,  -6.19E-014, 
 48.40,  -7.65E-014, 
 48.50,  -1.34E-013, 
 48.60,  -1.72E-013, 
 48.70,  -1.75E-013, 
 48.80,  -8.62E-014, 
 48.90,  -2.99E-014, 
 49.00,   2.09E-015, 
 49.10,  -6.96E-015, 
 49.20,   1.18E-014, 
 49.30,  -5.22E-014, 
 49.40,  -1.25E-014, 
 49.50,   0.00E+000, 
 49.60,   5.15E-014, 
 49.70,   1.53E-013, 
 49.80,   1.07E-013, 
 49.90,   4.59E-014, 
 50.00,  -2.57E-014, 
 50.10,   5.22E-014, 
 50.20,   5.36E-014, 
 50.30,   1.18E-014, 
 50.40,   2.02E-014, 
 50.50,   3.48E-015, 
 50.60,  -6.96E-016, 
 50.70,  -3.96E-014, 
 50.80,  -2.36E-014, 
 50.90,  -4.94E-014, 
 51.00,   1.04E-014, 
 51.10,   2.99E-014, 
 51.20,  -3.06E-014, 
 51.30,  -2.92E-014, 
 51.40,  -1.05E-013, 
 51.50,  -1.36E-013, 
 51.60,  -6.26E-014, 
 51.70,  -4.87E-014, 
 51.80,  -9.74E-015, 
 51.90,  -5.56E-015, 
 52.00,  -1.53E-014, 
 52.10,   2.64E-014, 
 52.20,  -4.17E-015, 
 52.30,   1.32E-014, 
 52.40,  -4.17E-015, 
 52.50,  -5.56E-014, 
 52.60,  -8.56E-014, 
 52.70,  -4.45E-014, 
 52.80,  -6.40E-014, 
 52.90,  -1.81E-014, 
 53.00,  -6.96E-015, 
 53.10,  -3.06E-014, 
 53.20,  -5.63E-014, 
 53.30,  -5.91E-014, 
 53.40,  -5.22E-014, 
 53.50,  -6.82E-014, 
 53.60,  -9.60E-014, 
 53.70,  -4.52E-014, 
 53.80,  -8.90E-014, 
 53.90,  -6.82E-014, 
 54.00,  -6.05E-014, 
 54.10,  -8.42E-014, 
 54.20,  -9.60E-014, 
 54.30,  -6.12E-014, 
 54.40,  -2.43E-014, 
 54.50,  -4.87E-014, 
 54.60,  -6.33E-014, 
 54.70,  -5.98E-014, 
 54.80,   6.12E-014, 
 54.90,   1.94E-013, 
 55.00,   2.78E-013, 
 55.10,   2.80E-013, 
 55.20,   1.63E-013, 
 55.30,   6.47E-014, 
 55.40,  -8.35E-015, 
 55.50,  -5.08E-014, 
 55.60,  -2.09E-015, 
 55.70,   2.30E-014, 
 55.80,   1.57E-013, 
 55.90,   2.98E-013, 
 56.00,   3.87E-013, 
 56.10,   4.28E-013, 
 56.20,   3.99E-013, 
 56.30,   1.78E-013, 
 56.40,   2.23E-014, 
 56.50,   6.26E-015, 
 56.60,  -6.96E-015, 
 56.70,   5.56E-015, 
 56.80,  -2.02E-014, 
 56.90,  -6.75E-014, 
 57.00,  -8.62E-014, 
 57.10,  -5.70E-014, 
 57.20,  -4.52E-014, 
 57.30,  -8.97E-014, 
 57.40,  -8.42E-014, 
 57.50,  -4.17E-015, 
 57.60,  -1.60E-014, 
 57.70,  -3.34E-014, 
 57.80,  -3.55E-014, 
 57.90,  -6.75E-014, 
 58.00,  -2.09E-015, 
 58.10,  -1.39E-014, 
 58.20,   0.00E+000, 
 58.30,   2.43E-014, 
 58.40,  -5.56E-014, 
 58.50,  -4.38E-014, 
 58.60,  -7.09E-014, 
 58.70,  -7.03E-014, 
 58.80,  -7.09E-014, 
 58.90,  -1.09E-013, 
 59.00,  -1.02E-013, 
 59.10,  -1.07E-013, 
 59.20,  -5.49E-014, 
 59.30,  -5.77E-014, 
 59.40,  -6.05E-014, 
 59.50,  -5.15E-014, 
 59.60,  -2.92E-014, 
 59.70,   8.07E-014, 
 59.80,   5.91E-014, 
 59.90,  -3.48E-015, 
 60.00,  -3.06E-014, 
 60.10,  -4.87E-015, 
 60.20,   3.48E-014, 
 60.30,   5.56E-015, 
 60.40,  -1.67E-014, 
 60.50,  -5.56E-015, 
 60.60,  -8.35E-014, 
 60.70,  -4.59E-014, 
 60.80,   3.20E-014, 
 60.90,   4.03E-014, 
 61.00,   2.16E-014, 
 61.10,   7.65E-015, 
 61.20,  -1.95E-014, 
 61.30,  -5.08E-014, 
 61.40,  -1.09E-013, 
 61.50,  -5.56E-014, 
 61.60,  -5.01E-014, 
 61.70,  -6.54E-014, 
 61.80,  -9.67E-014, 
 61.90,  -7.23E-014, 
 62.00,  -7.86E-014, 
 62.10,  -3.90E-014, 
 62.20,  -5.98E-014, 
 62.30,  -4.87E-014, 
 62.40,  -5.70E-014, 
 62.50,  -1.11E-014, 
 62.60,   2.64E-014, 
 62.70,   4.73E-014, 
 62.80,   1.25E-014, 
 62.90,  -2.64E-014, 
 63.00,   1.32E-014, 
 63.10,   4.38E-014, 
 63.20,   1.81E-014, 
 63.30,  -2.50E-014, 
 63.40,  -8.35E-015, 
 63.50,   4.52E-014, 
 63.60,   5.91E-014, 
 63.70,   3.20E-014, 
 63.80,  -2.36E-014, 
 63.90,   1.74E-014, 
 64.00,   6.96E-016, 
 64.10,  -5.49E-014, 
 64.20,  -1.88E-014, 
 64.30,   3.20E-014, 
 64.40,   1.95E-014, 
 64.50,   3.83E-014, 
 64.60,   4.66E-014, 
 64.70,  -8.35E-015, 
 64.80,  -2.43E-014, 
 64.90,  -4.87E-015, 
 65.00,  -1.39E-014, 
 65.10,   0.00E+000, 
 65.20,  -2.57E-014, 
 65.30,  -2.36E-014, 
 65.40,  -4.17E-015, 
 65.50,   4.87E-015, 
 65.60,  -3.48E-014, 
 65.70,  -1.53E-014, 
 65.80,  -4.17E-014, 
 65.90,  -2.09E-015, 
 66.00,  -7.03E-014, 
 66.10,  -3.90E-014, 
 66.20,  -1.67E-014, 
 66.30,  -1.04E-014, 
 66.40,   1.60E-014, 
 66.50,   6.96E-014, 
 66.60,   3.90E-014, 
 66.70,  -1.81E-014, 
 66.80,  -5.49E-014, 
 66.90,  -7.09E-014, 
 67.00,  -1.09E-013, 
 67.10,  -2.71E-014, 
 67.20,   3.69E-014, 
 67.30,  -6.96E-015, 
 67.40,  -3.20E-014, 
 67.50,  -2.02E-014, 
 67.60,  -1.39E-015, 
 67.70,   1.04E-014, 
 67.80,  -6.96E-016, 
 67.90,   2.09E-014, 
 68.00,   4.94E-014, 
 68.10,   2.78E-014, 
 68.20,   6.26E-015, 
 68.30,  -5.36E-014, 
 68.40,  -4.10E-014, 
 68.50,  -7.30E-014, 
 68.60,  -4.66E-014, 
 68.70,  -6.54E-014, 
 68.80,  -5.22E-014, 
 68.90,   1.32E-014, 
 69.00,   3.69E-014, 
 69.10,   7.03E-014, 
 69.20,   7.79E-014, 
 69.30,   3.62E-014, 
 69.40,  -2.16E-014, 
 69.50,  -4.52E-014, 
 69.60,  -4.87E-014, 
 69.70,  -2.99E-014, 
 69.80,  -3.69E-014, 
 69.90,  -5.49E-014, 
 70.00,  -6.40E-014, 
 70.10,  -6.26E-014, 
 70.20,  -6.47E-014, 
 70.30,  -5.15E-014, 
 70.40,  -5.49E-014, 
 70.50,  -7.58E-014, 
 70.60,   1.46E-014, 
 70.70,  -5.22E-014, 
 70.80,  -5.22E-014, 
 70.90,   1.53E-014, 
 71.00,   2.64E-014, 
 71.10,  -1.11E-014, 
 71.20,  -2.09E-014, 
 71.30,   2.50E-014, 
 71.40,  -9.04E-015, 
 71.50,  -1.32E-014, 
 71.60,  -4.87E-015, 
 71.70,  -1.25E-014, 
 71.80,  -3.13E-014, 
 71.90,  -4.38E-014, 
 72.00,  -5.77E-014, 
 72.10,  -1.39E-014, 
 72.20,  -4.17E-015, 
 72.30,   6.68E-014, 
 72.40,   4.66E-014, 
