Jul 15, 2023  04:27:13 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   2.66E-010, 
  1.10,   4.13E-010, 
  1.20,   1.33E-009, 
  1.30,   2.58E-009, 
  1.40,   1.63E-009, 
  1.50,   2.84E-009, 
  1.60,   4.07E-009, 
  1.70,   7.32E-009, 
  1.80,   1.97E-008, 
  1.90,   4.16E-008, 
  2.00,   5.38E-008, 
  2.10,   5.18E-008, 
  2.20,   3.83E-008, 
  2.30,   1.20E-008, 
  2.40,   5.36E-010, 
  2.50,   7.11E-011, 
  2.60,   2.01E-011, 
  2.70,   7.58E-012, 
  2.80,   6.21E-012, 
  2.90,   7.66E-012, 
  3.00,   1.03E-011, 
  3.10,   1.10E-011, 
  3.20,   9.03E-012, 
  3.30,   4.74E-012, 
  3.40,   1.72E-012, 
  3.50,   8.08E-013, 
  3.60,   4.12E-013, 
  3.70,   2.76E-013, 
  3.80,   3.16E-013, 
  3.90,   4.02E-013, 
  4.00,   4.73E-013, 
  4.10,   4.45E-013, 
  4.20,   3.64E-013, 
  4.30,   2.22E-013, 
  4.40,   3.69E-014, 
  4.50,   2.43E-014, 
  4.60,  -4.66E-014, 
  4.70,  -8.35E-014, 
  4.80,  -3.76E-014, 
  4.90,  -3.55E-014, 
  5.00,  -4.31E-014, 
  5.10,  -1.39E-015, 
  5.20,  -2.78E-014, 
  5.30,  -3.06E-014, 
  5.40,  -2.78E-015, 
  5.50,  -4.52E-014, 
  5.60,  -2.36E-014, 
  5.70,  -2.57E-014, 
  5.80,  -7.93E-014, 
  5.90,  -1.88E-014, 
  6.00,   2.02E-014, 
  6.10,   1.97E-013, 
  6.20,   5.98E-014, 
  6.30,  -3.48E-015, 
  6.40,   3.20E-014, 
  6.50,  -6.40E-014, 
  6.60,  -1.11E-013, 
  6.70,  -7.93E-014, 
  6.80,  -4.24E-014, 
