Jul 19, 2023  05:38:43 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


 20.40,   5.98E-014, 
 20.50,   4.94E-014, 
 20.60,   3.96E-014, 
 20.70,   6.05E-014, 
 20.80,   7.16E-014, 
 20.90,   2.09E-014, 
 21.00,  -4.87E-015, 
 21.10,   2.85E-014, 
 21.20,  -1.95E-014, 
 21.30,   3.27E-014, 
 21.40,   1.39E-015, 
 21.50,   3.27E-014, 
 21.60,   1.35E-013, 
 21.70,   4.14E-013, 
 21.80,   6.98E-013, 
 21.90,   7.03E-013, 
 22.00,   6.16E-013, 
 22.10,   4.67E-013, 
 22.20,   3.11E-013, 
 22.30,   2.18E-013, 
 22.40,   1.85E-013, 
 22.50,   1.54E-013, 
 22.60,   1.23E-013, 
 22.70,   1.42E-013, 
 22.80,   2.52E-013, 
 22.90,   1.91E-013, 
 23.00,   1.76E-013, 
 23.10,   1.14E-013, 
 23.20,   6.19E-014, 
 23.30,   7.30E-014, 
 23.40,   6.12E-014, 
 23.50,   3.83E-014, 
 23.60,   4.38E-014, 
 23.70,   5.08E-014, 
 23.80,   7.51E-014, 
 23.90,   1.52E-013, 
 24.00,   8.35E-014, 
 24.10,   9.81E-014, 
 24.20,   1.16E-013, 
 24.30,   5.56E-014, 
 24.40,   5.15E-014, 
 24.50,   1.53E-014, 
 24.60,   5.29E-014, 
 24.70,   8.97E-014, 
 24.80,   1.75E-013, 
 24.90,   2.03E-013, 
 25.00,   2.94E-013, 
 25.10,   3.15E-013, 
 25.20,   2.14E-013, 
 25.30,   1.61E-013, 
 25.40,   1.66E-013, 
 25.50,   2.46E-013, 
 25.60,   2.89E-013, 
 25.70,   4.86E-013, 
 25.80,   1.08E-012, 
 25.90,   1.45E-012, 
 26.00,   1.32E-012, 
 26.10,   1.48E-012, 
 26.20,   9.20E-013, 
 26.30,   5.31E-013, 
 26.40,   4.74E-013, 
 26.50,   5.05E-013, 
 26.60,   6.77E-013, 
 26.70,   1.28E-012, 
 26.80,   2.51E-012, 
 26.90,   3.60E-012, 
 27.00,   5.06E-012, 
 27.10,   9.39E-012, 
 27.20,   1.64E-011, 
 27.30,   3.35E-011, 
 27.40,   6.29E-011, 
 27.50,   1.42E-010, 
 27.60,   4.24E-010, 
 27.70,   7.42E-010, 
 27.80,   8.86E-010, 
 27.90,   8.65E-010, 
 28.00,   7.84E-010, 
 28.10,   4.56E-010, 
 28.20,   4.32E-011, 
 28.30,   5.70E-012, 
 28.40,   2.48E-012, 
 28.50,   1.60E-012, 
 28.60,   2.58E-012, 
 28.70,   5.37E-012, 
 28.80,   8.62E-012, 
 28.90,   1.02E-011, 
 29.00,   9.35E-012, 
 29.10,   6.88E-012, 
 29.20,   2.84E-012, 
 29.30,   1.38E-012, 
 29.40,   9.18E-013, 
 29.50,   1.11E-012, 
 29.60,   2.57E-012, 
 29.70,   5.38E-012, 
 29.80,   8.79E-012, 
 29.90,   1.02E-011, 
