Jul 13, 2023  02:06:00 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


 20.60,   1.71E-012, 
 20.70,   1.28E-012, 
 20.80,   7.18E-013, 
 20.90,   5.80E-013, 
 21.00,   4.49E-013, 
 21.10,   4.36E-013, 
 21.20,   5.61E-013, 
 21.30,   7.05E-013, 
 21.40,   1.55E-012, 
 21.50,   3.17E-012, 
 21.60,   9.55E-012, 
 21.70,   3.33E-011, 
 21.80,   5.97E-011, 
 21.90,   6.78E-011, 
 22.00,   6.35E-011, 
 22.10,   5.42E-011, 
 22.20,   2.16E-011, 
 22.30,   4.11E-012, 
 22.40,   1.83E-012, 
 22.50,   1.22E-012, 
 22.60,   1.14E-012, 
 22.70,   8.65E-013, 
 22.80,   7.40E-013, 
 22.90,   7.51E-013, 
 23.00,   7.66E-013, 
 23.10,   7.15E-013, 
 23.20,   5.52E-013, 
 23.30,   4.95E-013, 
 23.40,   6.49E-013, 
 23.50,   9.26E-013, 
 23.60,   1.77E-012, 
 23.70,   5.19E-012, 
 23.80,   1.17E-011, 
 23.90,   1.47E-011, 
 24.00,   1.50E-011, 
 24.10,   1.35E-011, 
 24.20,   7.96E-012, 
 24.30,   2.88E-012, 
 24.40,   2.64E-012, 
 24.50,   4.16E-012, 
 24.60,   9.11E-012, 
 24.70,   3.04E-011, 
 24.80,   5.41E-011, 
 24.90,   6.67E-011, 
 25.00,   7.06E-011, 
 25.10,   6.85E-011, 
 25.20,   4.48E-011, 
 25.30,   3.39E-011, 
 25.40,   4.60E-011, 
 25.50,   6.36E-011, 
 25.60,   1.25E-010, 
 25.70,   2.88E-010, 
 25.80,   4.16E-010, 
 25.90,   4.62E-010, 
 26.00,   4.53E-010, 
 26.10,   3.87E-010, 
 26.20,   1.84E-010, 
 26.30,   3.58E-011, 
 26.40,   5.22E-011, 
 26.50,   9.57E-011, 
 26.60,   2.31E-010, 
 26.70,   6.05E-010, 
 26.80,   9.73E-010, 
 26.90,   1.14E-009, 
 27.00,   1.12E-009, 
 27.10,   1.01E-009, 
 27.20,   5.82E-010, 
 27.30,   3.55E-010, 
 27.40,   6.54E-010, 
 27.50,   1.27E-009, 
 27.60,   3.66E-009, 
 27.70,   8.40E-009, 
 27.80,   1.19E-008, 
 27.90,   1.30E-008, 
 28.00,   1.22E-008, 
 28.10,   9.86E-009, 
 28.20,   3.10E-009, 
 28.30,   1.31E-010, 
 28.40,   5.59E-011, 
 28.50,   7.93E-011, 
 28.60,   1.89E-010, 
 28.70,   5.01E-010, 
 28.80,   7.98E-010, 
 28.90,   9.27E-010, 
 29.00,   9.05E-010, 
 29.10,   7.82E-010, 
 29.20,   3.53E-010, 
 29.30,   3.07E-011, 
 29.40,   1.43E-011, 
 29.50,   2.18E-011, 
 29.60,   5.64E-011, 
 29.70,   1.53E-010, 
 29.80,   2.40E-010, 
 29.90,   2.69E-010, 
 30.00,   2.61E-010, 
 30.10,   2.12E-010, 
 30.20,   8.07E-011, 
 30.30,   9.93E-012, 
 30.40,   4.54E-012, 
 30.50,   6.15E-012, 
 30.60,   1.33E-011, 
 30.70,   3.99E-011, 
 30.80,   6.99E-011, 
 30.90,   8.12E-011, 
 31.00,   8.06E-011, 
 31.10,   7.07E-011, 
 31.20,   3.73E-011, 
 31.30,   1.23E-011, 
 31.40,   1.68E-011, 
 31.50,   3.00E-011, 
 31.60,   8.00E-011, 
 31.70,   2.06E-010, 
 31.80,   2.97E-010, 
 31.90,   3.25E-010, 
 32.00,   3.05E-010, 
 32.10,   2.39E-010, 
 32.20,   6.74E-011, 
 32.30,   7.20E-012, 
 32.40,   2.54E-012, 
 32.50,   1.34E-012, 
 32.60,   9.08E-013, 
 32.70,   9.67E-013, 
 32.80,   1.15E-012, 
 32.90,   1.41E-012, 
 33.00,   1.52E-012, 
 33.10,   1.61E-012, 
 33.20,   1.17E-012, 
 33.30,   6.28E-013, 
 33.40,   4.03E-013, 
 33.50,   3.16E-013, 
 33.60,   3.64E-013, 
 33.70,   6.33E-013, 
 33.80,   1.06E-012, 
 33.90,   1.39E-012, 
 34.00,   1.66E-012, 
 34.10,   1.68E-012, 
 34.20,   1.13E-012, 
 34.30,   5.59E-013, 
 34.40,   5.43E-013, 
 34.50,   5.25E-013, 
 34.60,   7.87E-013, 
 34.70,   1.71E-012, 
 34.80,   2.89E-012, 
 34.90,   3.53E-012, 
 35.00,   3.95E-012, 
 35.10,   3.42E-012, 
 35.20,   1.97E-012, 
 35.30,   1.23E-012, 
 35.40,   1.20E-012, 
 35.50,   1.68E-012, 
 35.60,   3.20E-012, 
 35.70,   9.22E-012, 
 35.80,   1.64E-011, 
 35.90,   2.03E-011, 
 36.00,   1.98E-011, 
 36.10,   1.77E-011, 
 36.20,   9.40E-012, 
 36.30,   5.71E-012, 
 36.40,   7.22E-012, 
 36.50,   1.15E-011, 
 36.60,   2.65E-011, 
 36.70,   7.14E-011, 
 36.80,   1.18E-010, 
 36.90,   1.37E-010, 
 37.00,   1.37E-010, 
 37.10,   1.13E-010, 
 37.20,   4.35E-011, 
 37.30,   1.15E-011, 
 37.40,   1.46E-011, 
 37.50,   2.50E-011, 
 37.60,   6.82E-011, 
 37.70,   1.74E-010, 
 37.80,   2.45E-010, 
 37.90,   2.76E-010, 
 38.00,   2.84E-010, 
 38.10,   2.50E-010, 
 38.20,   1.16E-010, 
 38.30,   6.50E-011, 
 38.40,   1.06E-010, 
 38.50,   1.83E-010, 
 38.60,   4.20E-010, 
 38.70,   1.05E-009, 
 38.80,   1.58E-009, 
 38.90,   1.74E-009, 
 39.00,   1.75E-009, 
 39.10,   1.52E-009, 
 39.20,   5.82E-010, 
 39.30,   9.38E-011, 
 39.40,   1.20E-010, 
 39.50,   2.28E-010, 
 39.60,   6.07E-010, 
 39.70,   1.17E-009, 
 39.80,   1.58E-009, 
 39.90,   1.65E-009, 
 40.00,   1.59E-009, 
 40.10,   1.11E-009, 
 40.20,   3.28E-010, 
 40.30,   1.30E-010, 
 40.40,   2.16E-010, 
 40.50,   3.36E-010, 
 40.60,   7.34E-010, 
 40.70,   1.93E-009, 
 40.80,   3.20E-009, 
 40.90,   3.77E-009, 
 41.00,   3.76E-009, 
 41.10,   3.30E-009, 
 41.20,   1.44E-009, 
 41.30,   9.18E-011, 
 41.40,   2.50E-011, 
 41.50,   3.03E-011, 
 41.60,   6.17E-011, 
 41.70,   1.73E-010, 
 41.80,   2.88E-010, 
 41.90,   3.44E-010, 
 42.00,   3.49E-010, 
 42.10,   3.14E-010, 
 42.20,   1.67E-010, 
 42.30,   3.28E-011, 
 42.40,   3.01E-011, 
 42.50,   4.69E-011, 
 42.60,   1.08E-010, 
 42.70,   2.68E-010, 
 42.80,   3.97E-010, 
 42.90,   4.79E-010, 
 43.00,   5.15E-010, 
 43.10,   4.89E-010, 
 43.20,   3.28E-010, 
 43.30,   3.06E-010, 
 43.40,   4.69E-010, 
 43.50,   7.99E-010, 
 43.60,   2.17E-009, 
 43.70,   4.71E-009, 
 43.80,   6.34E-009, 
 43.90,   6.79E-009, 
 44.00,   6.56E-009, 
 44.10,   4.65E-009, 
 44.20,   9.03E-010, 
 44.30,   3.08E-011, 
