Jul 12, 2023  08:06:02 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


  1.00,   2.17E-010, 
  1.10,   4.25E-010, 
  1.20,   1.11E-009, 
  1.30,   1.56E-009, 
  1.40,   8.48E-010, 
  1.50,   9.61E-010, 
  1.60,   1.25E-009, 
  1.70,   2.43E-009, 
  1.80,   6.17E-009, 
  1.90,   1.07E-008, 
  2.00,   1.28E-008, 
  2.10,   1.20E-008, 
  2.20,   7.88E-009, 
  2.30,   1.54E-009, 
  2.40,   7.57E-011, 
  2.50,   1.62E-011, 
  2.60,   5.74E-012, 
  2.70,   2.62E-012, 
  2.80,   1.82E-012, 
  2.90,   2.18E-012, 
  3.00,   2.28E-012, 
  3.10,   2.32E-012, 
  3.20,   2.00E-012, 
  3.30,   1.11E-012, 
  3.40,   4.68E-013, 
  3.50,   1.77E-013, 
  3.60,  -9.74E-015, 
  3.70,  -1.74E-014, 
  3.80,   3.90E-014, 
  3.90,   2.50E-014, 
  4.00,   3.76E-014, 
  4.10,   2.30E-014, 
  4.20,  -2.92E-014, 
  4.30,  -4.38E-014, 
  4.40,  -8.62E-014, 
  4.50,  -7.86E-014, 
  4.60,   2.78E-015, 
  4.70,  -5.43E-014, 
  4.80,  -4.17E-015, 
  4.90,  -4.73E-014, 
  5.00,  -7.72E-014, 
  5.10,  -9.67E-014, 
  5.20,  -4.10E-014, 
  5.30,   1.74E-014, 
  5.40,  -2.92E-014, 
  5.50,   3.34E-014, 
  5.60,  -3.06E-014, 
  5.70,  -1.07E-013, 
  5.80,  -1.15E-013, 
  5.90,  -7.65E-014, 
  6.00,  -1.25E-013, 
  6.10,  -1.08E-013, 
  6.20,  -4.73E-014, 
  6.30,  -1.20E-013, 
  6.40,  -1.36E-013, 
  6.50,  -7.03E-014, 
  6.60,  -7.30E-014, 
  6.70,  -5.15E-014, 
