Jul 13, 2023  11:54:01 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1991 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 200, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.02E+003 
Sensitivity Factor, 1.40E-004 
Filament Current, 1.00, mAmps


 20.50,   1.56E-012, 
 20.60,   1.34E-012, 
 20.70,   8.60E-013, 
 20.80,   4.25E-013, 
 20.90,   2.63E-013, 
 21.00,   2.55E-013, 
 21.10,   2.91E-013, 
 21.20,   3.33E-013, 
 21.30,   4.59E-013, 
 21.40,   9.13E-013, 
 21.50,   1.87E-012, 
 21.60,   4.94E-012, 
 21.70,   1.67E-011, 
 21.80,   3.15E-011, 
 21.90,   3.71E-011, 
 22.00,   3.65E-011, 
 22.10,   2.99E-011, 
 22.20,   1.55E-011, 
 22.30,   3.40E-012, 
 22.40,   1.54E-012, 
 22.50,   9.83E-013, 
 22.60,   7.98E-013, 
 22.70,   6.74E-013, 
 22.80,   4.74E-013, 
 22.90,   4.70E-013, 
 23.00,   4.10E-013, 
 23.10,   4.70E-013, 
 23.20,   3.76E-013, 
 23.30,   3.16E-013, 
 23.40,   4.22E-013, 
 23.50,   5.75E-013, 
 23.60,   1.22E-012, 
 23.70,   4.01E-012, 
 23.80,   8.23E-012, 
 23.90,   1.10E-011, 
 24.00,   1.18E-011, 
 24.10,   1.12E-011, 
 24.20,   6.99E-012, 
 24.30,   2.76E-012, 
 24.40,   2.18E-012, 
 24.50,   3.02E-012, 
 24.60,   6.56E-012, 
 24.70,   2.30E-011, 
 24.80,   4.53E-011, 
 24.90,   5.66E-011, 
 25.00,   5.82E-011, 
 25.10,   5.51E-011, 
 25.20,   3.83E-011, 
 25.30,   3.07E-011, 
 25.40,   4.04E-011, 
 25.50,   5.19E-011, 
 25.60,   1.01E-010, 
 25.70,   2.34E-010, 
 25.80,   3.54E-010, 
 25.90,   3.97E-010, 
 26.00,   3.81E-010, 
 26.10,   3.34E-010, 
 26.20,   1.63E-010, 
 26.30,   3.14E-011, 
 26.40,   4.35E-011, 
 26.50,   8.19E-011, 
 26.60,   1.99E-010, 
 26.70,   5.21E-010, 
 26.80,   8.49E-010, 
